FileName,FilePath,AbsolutePath,Folder,SVGType,SVGContent,SVGSource,LineContext,FileExtension
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,ShieldIcon,On Code,"Line 120: <ShieldIcon size={18} className=""text-forest-glow/50"" />",.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,Line 115: <LeafIcon,.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,MoonIcon,On Code,"Line 153: <MoonIcon size={14} className=""text-gold-light/60"" />",.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,TreeIcon,On Code,Line 34: <TreeIcon,.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,TreeIcon,On Code,Line 34: <TreeIcon,.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,UpArrowIcon,On Code,"Line 193: <UpArrowIcon className=""text-forest-glow w-8 h-8 mb-1"" />",.jsx
EmuconHero.jsx,src/components/Emucon/EmuconHero.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconHero.jsx,src/components/Emucon,React SVG Component,CalendarIcon,On Code,"Line 87: <CalendarIcon size={18} className=""text-gold-light"" />",.jsx
EmuconHero.jsx,src/components/Emucon/EmuconHero.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconHero.jsx,src/components/Emucon,React SVG Component,ClockIcon,On Code,"Line 104: <ClockIcon size={18} className=""text-gold-light"" />",.jsx
EmuconHero.jsx,src/components/Emucon/EmuconHero.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconHero.jsx,src/components/Emucon,React SVG Component,LocationIcon,On Code,"Line 120: <LocationIcon size={16} className=""text-forest-glow"" />",.jsx
EmuconIcons.jsx,src/components/Emucon/EmuconIcons.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconIcons.jsx,src/components/Emucon,Inline SVG,"viewBox: 0 0 24 24, size: N/AxN/A",On Code,Context not found,.jsx
EmuconNavbar.jsx,src/components/Emucon/EmuconNavbar.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconNavbar.jsx,src/components/Emucon,Inline SVG,"viewBox: 0 0 1200 60, size: N/AxN/A",On Code,Context not found,.jsx
EmuconNavbar.jsx,src/components/Emucon/EmuconNavbar.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconNavbar.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,"Line 64: <LeafIcon className=""text-forest-light/50 w-6 h-6 md:w-8 md:h-8 drop-shadow-md transform transition-...",.jsx
EmuconNavbar.jsx,src/components/Emucon/EmuconNavbar.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconNavbar.jsx,src/components/Emucon,React SVG Component,SwordIcon,On Code,"Line 67: <SwordIcon className=""text-forest-light/35 w-4 h-4 md:w-5 md:h-5 rotate-45 transform transition-tran...",.jsx
EmuconNavbar.jsx,src/components/Emucon/EmuconNavbar.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconNavbar.jsx,src/components/Emucon,React SVG Component,StarIcon,On Code,"Line 87: <StarIcon className=""text-gold-light w-6 h-6 md:w-8 md:h-8 drop-shadow-[0_2px_12px_rgba(201,162,39,0...",.jsx
EmuconNavbar.jsx,src/components/Emucon/EmuconNavbar.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconNavbar.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,"Line 64: <LeafIcon className=""text-forest-light/50 w-6 h-6 md:w-8 md:h-8 drop-shadow-md transform transition-...",.jsx
EmuconNavbar.jsx,src/components/Emucon/EmuconNavbar.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconNavbar.jsx,src/components/Emucon,React SVG Component,ShieldIcon,On Code,"Line 103: <ShieldIcon className=""text-forest-medium/40 w-5 h-5 md:w-6 md:h-6 transform transition-transform du...",.jsx
EmuconParallax.jsx,src/components/Emucon/EmuconParallax.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconParallax.jsx,src/components/Emucon,Inline SVG,"viewBox: 0 0 200 80, size: 200x80",On Code,Context not found,.jsx
